StudentID,firstname,Median wage
333,Daphne,14151
334,Fred,17472
335,Teddie,16569
336,Noelle,20012
337,Sybille,17384
338,Steffane,19306
339,Suzette,15076
340,Ardenia,16463
341,Aimil,17565
342,Jeanna,16799
343,Corina,13091
344,Caryl,10633
345,Ardeen,13533
346,Marcelline,20674
347,Meghann,21502
348,Sheelagh,18755
349,Lexine,15192
350,Dede,20006
351,Arlina,16974
352,Robinia,12209
353,Raquela,17569
354,Ellette,19576
355,Aaren,17404
356,Henriette,13953
357,Alyda,21383
358,Sabina,19228
359,Carmela,20391
360,Suzette,11681
361,Brena,17376
362,Elsie,18877
363,Cordi,10095
364,Nessie,14459
365,Maurene,20469
366,Alejandra,13625
367,Sashenka,13364
368,Caressa,16035
369,Belva,11019
370,Juliane,20649
371,Kristina,18709
372,Jackie,21181
373,Ursulina,14933
374,Katuscha,11897
375,Elbertina,13588
376,Stephanie,21136
377,Merci,15653
378,Lila,12485
379,Emylee,20579
380,Blinni,19279
381,Alexine,15618
382,Elka,18802
383,Monika,11993
384,Giustina,21354
385,Clarice,18597
386,Elise,11115
387,Daune,13221
388,Dorthy,19943
389,Fina,16928
390,Rhea,12307
391,Lizzie,18174
392,Lily,13390
393,Blinni,19222
394,Danika,19432
395,Loree,11588
396,Maridel,14969
397,Corina,15225
398,Magdalena,10182
399,Aurore,16889
400,Raina,11917
401,Jany,12798
402,Chandra,11083
403,Berget,14879
404,Penelopa,17025
405,Jere,15907
406,Sybille,17454
407,Gabi,10494
408,Gaylene,21542
409,Melisent,11519
410,Jan,16104
411,Krystle,15161
412,Paule,19760
413,Ashlee,20199
414,Bettine,15816
415,Silvana,15866
416,Candi,18813
417,Amalie,14635
418,Marita,12419
419,Therine,16526
420,Judy,17545
421,Jordan,20595
422,Jacquetta,14396
423,Katharina,17821
424,Adriana,10246
425,Cacilie,13264
426,Marguerite,18837
427,Millie,20906
428,Jaime,11880
429,Lelah,16576
430,Layla,17463
431,Lyssa,15597
432,Penelopa,20859
433,Lindie,11474
434,Dominga,18876
435,Rori,17200
436,Dione,16327
437,Hollie,18616
438,Hollie,12772
439,Viviene,18156
440,Harmonia,19618
441,Pollyanna,17439
442,Xylina,18098
443,Berta,19770
444,Consuela,11892
445,Camile,18883
446,Emma,19595
447,Karolina,17420
448,Margette,11815
449,Moyna,18505
450,Orelia,18891
451,Oona,14168
452,Codie,15276
453,Kate,16350
454,Xylina,18923
455,Stevana,14067
456,Theodora,12543
457,Tobe,11199
458,Trixi,14108
459,Chrystel,15660
460,Shirlee,20186
461,Imojean,18866
462,Kathy,17756
463,Glenda,20176
464,Eve,20320
465,Carolina,20765
466,Kirbee,13171
467,Damaris,18042
468,Hildegaard,18716
469,Iseabal,12651
470,Glenda,17777
471,Bibby,12654
472,Claudina,11012
473,Marcy,10893
474,Brana,13990
475,Lorne,14364
476,Malina,18148
477,Amalie,18303
478,Dotty,18357
479,Lory,15402
480,Tonia,15282
481,Winifred,15040
482,Briney,12798
483,Gretal,10703
484,Fanny,16469
485,Damaris,11786
486,Monika,18295
487,Ardys,17277
488,Renae,10907
489,Silvana,16829
490,Marinna,21077
491,Inga,10360
492,Jinny,19873
493,Nariko,19284
494,Courtnay,10108
495,Daune,11764
496,Marguerite,11926
497,Willetta,11191
498,Margarette,14032
499,Elfreda,13435
500,Edyth,21493
501,Keelia,21951
502,Bee,17385
503,Ezmeralda,12325
504,Maye,19567
505,Roxane,17457
506,Amii,17108
507,Doro,17450
508,Lulita,19123
509,Marline,15312
510,Andeee,10122
511,Kara-Lynn,17083
512,Tami,13404
513,Caritta,17873
514,Lynea,18650
515,Adelle,16987
516,Viki,20399
517,Courtnay,16257
518,Lita,14608
519,Ruthe,19078
520,Oralee,11022
521,Laure,19355
522,Lorne,19629
523,Arabel,12551
524,Modestia,17428
525,Annice,18050
526,Albertina,16989
527,Gabriellia,10401
528,Jaime,11259
529,Janis,10978
530,Ruthe,16009
531,Marita,19327
532,Estell,12892
533,Julieta,11086
534,Margarette,10968
535,Christian,15791
536,Blinni,14525
537,Ermengarde,19444
538,Beverley,21019
539,Marguerite,12615
540,Kary,14509
541,Norine,19670
542,Elka,20638
543,Minne,19330
544,Georgetta,20249
545,Verla,20691
546,Leeanne,12771
547,Eadie,21381
548,Ada,19505
549,Sharai,20433
550,Rosanne,13176
551,Wileen,21561
552,Natka,14258
553,Mamie,18658
554,Lonnie,16808
555,Viki,20759
556,Ekaterina,18168
557,Ebonee,17802
558,Tarra,16631
559,Ivett,19656
560,Henriette,12749
561,Dania,15220
562,Anestassia,17970
563,Iseabal,17614
564,Brooks,21622
565,Ursulina,11020
566,Loree,13170
567,Madelle,21895
568,Claresta,20684
569,Shandie,19762
570,Starla,15396
571,Dorice,11205
572,Gretal,11713
573,Lory,21643
574,Ninnetta,13092
575,Orsola,20452
576,Diena,21128
577,Kimberley,21393
578,Imojean,21562
579,Verla,12526
580,Tatiania,14282
581,Violet,17906
582,Pollyanna,13656
583,Catharine,17490
584,Babita,19791
585,Sharlene,12519
586,Marinna,13017
587,Shaine,13250
588,Phedra,19700
589,Ariela,17469
590,Mariann,13689
591,Blondelle,15609
592,Kalina,11468
593,Jasmina,20544
594,Eolanda,16215
595,Chandra,15831
596,Livvyy,10904
597,Kerrin,20523
598,Gerrie,12577
599,Letizia,12063
600,Corly,18416
601,Ardys,19912
602,Jinny,19311
603,Calla,14489
604,Ann-Marie,21105
605,Valli,14360
606,Leona,10560
607,Nollie,17007
608,Zsa Zsa,14561
609,Maridel,13140
610,Candi,19104
611,Gerrie,17884
612,Lory,19110
613,Selma,21716
614,Brianna,18481
615,Shandie,16013
616,Beatriz,10597
617,Mariann,19497
618,Ruthe,12263
619,Averyl,14776
620,Nollie,10250
621,Selia,19578
622,Jolyn,19541
623,Bobbi,19881
624,Felice,20935
625,Cathyleen,12476
626,Berta,20688
627,Rhoda,11576
628,Darlleen,10975
629,Elena,11897
630,Merle,11262
631,Amalie,17069
632,Sadie,19552
633,Hildegaard,13512
634,Nannie,18504
635,Calla,17972
636,Alia,20425
637,Frances,12557
638,Trixi,18882
639,Liana,12239
640,Antonietta,19096
641,Fredericka,18470
642,Mallory,18928
643,Raf,13582
644,Karina,12351
645,Correy,18332
646,Josephine,21732
647,Ruthe,17213
648,Lorne,16437
649,Anica,18702
650,Meriel,10034
651,Joleen,14230
652,Rosabelle,12298
653,Hettie,11421
654,Fanchon,17003
655,Sashenka,13967
656,Kalina,21263
657,Meghann,17488
658,Courtnay,20161
659,Cassandra,17314
660,Sissy,13139
661,Eadie,21053
662,Tobe,19077
663,Christian,19004
664,Elsie,18297
665,Marita,11555
666,Janeczka,17274
667,Leontine,19584
668,Christy,15572
669,Inga,12968
670,Tierney,21366
671,Adriana,19212
672,Madeleine,17035
673,Devina,21059
674,Evita,10791
675,Allis,16346
676,Sue,20535
677,Gertrud,19021
678,Lonnie,13409
679,Margalo,10698
680,Paule,17303
681,Vanessa,14414
682,Gloria,12612
683,Robbi,10789
684,Miquela,10048
685,Aaren,13722
686,Mariann,15977
687,Madeleine,20793
688,Ekaterina,12100
689,Alex,18767
690,Kalina,10162
691,Mallory,12184
692,Penelopa,15598
693,Therine,20708
694,Xylina,13000
695,Olivette,10846
696,Yvonne,13292
697,Christal,10942
698,Lusa,15020
699,Brietta,14456
700,Madalyn,20372
701,Alia,19420
702,Livvyy,21005
703,Joane,16708
704,Annora,16250
705,Riannon,16449
706,Nerta,12801
707,Joceline,11839
708,Millie,14943
709,Therine,14057
710,Jeanna,17515
711,Alyda,15606
712,Dyann,15618
713,Neila,14736
714,Angela,14916
715,Elise,17700
716,Yetty,16635
717,Sherrie,12490
718,Evita,12041
719,Gertrud,13612
720,Kaja,21324
721,Delilah,16814
722,Sybille,12830
723,Candi,10081
724,Raf,18367
725,Shaine,13678
726,Adelle,16658
727,Dale,17752
728,Aurore,10752
729,Nicoli,17619
730,Gerianna,11687
731,Claresta,21396
732,Lenna,13490
733,Shirlee,10814
734,Kirbee,14028
735,Daryl,12677
736,Mamie,11628
737,Dale,11233
738,Edyth,12036
739,Ardenia,10072
740,Marylou,13075
741,Briney,19692
742,Donnie,20529
743,Merci,17331
744,Konstance,10632
745,Norine,20538
746,Lenna,20404
747,Kirbee,13476
748,Iseabal,14951
749,Nelle,19804
750,Lilith,17003
751,Therine,10673
752,Atlanta,19058
753,Netty,11052
754,Judy,11056
755,Brandise,13856
756,Valli,17878
757,Annecorinne,12795
758,Ebonee,18305
759,Alyda,14930
760,Desirae,19500
761,Janenna,11519
762,Adore,10643
763,Katuscha,20938
764,Elyssa,10406
765,Cyb,10151
766,Rani,10209
767,Lorenza,21855
768,Ginnie,20256
769,Elora,10812
770,Reeba,18724
771,Lila,21574
772,Thalia,11709
773,Morganica,15840
774,Helena,12072
775,Gisela,15911
776,Bernie,14410
777,Keelia,10346
778,Ilse,12508
779,Ebonee,10746
780,Iseabal,16109
781,Selma,11006
782,Jere,15935
783,Beth,15729
784,Betta,11103
785,Catrina,14361
786,Pearline,14740
787,Ardenia,12678
788,Brandise,20736
789,Doralynne,17748
790,Kirbee,12928
791,Elbertina,16314
792,Carolina,11549
793,Cordi,19494
794,Mariele,13962
795,Misha,18453
796,Cyndie,14523
797,Gratia,12555
798,Katharina,15479
799,Pollyanna,16839
800,Pollyanna,19868
801,Catharine,19144
802,Steffane,16021
803,Paulita,18839
804,Amii,16685
805,Karena,20430
806,Oona,21369
807,Lilith,20637
808,Eve,11157
809,Ermengarde,21276
810,Danika,21091
811,Corry,16251
812,Tybie,19189
813,Drucie,13042
814,Darci,15492
815,Magdalena,21803
816,Alyda,18873
817,Iseabal,10313
818,Mureil,19092
819,Gabriellia,19899
820,Asia,20061
821,Renae,14700
822,Lita,11059
823,Roslyn,18696
824,Valera,21404
825,Aaren,20505
826,Nanete,17969
827,Selia,21467
828,Oralee,21945
829,Georgina,20717
830,Linzy,12213
831,Hildegaard,15072
832,Gabriellia,11966
833,Jenilee,17400
834,Sarette,11412
835,Glynnis,20235
836,Merry,17228
837,Maud,19560
838,Alex,16351
839,Maisey,13087
840,Frances,15909
841,June,18334
842,Calla,17204
843,Corly,13411
844,Evita,19276
845,Paule,13611
846,Yolane,11659
847,Imojean,16066
848,Miquela,16291
849,Susette,20849
850,Marita,12220
851,Magdalena,14277
852,Cristabel,17148
853,Sophia,19111
854,Aigneis,14344
855,Jean,17999
856,Carly,12389
857,Tomasina,15412
858,Marinna,12989
859,Zaria,20015
860,Tybie,21648
861,Cathyleen,13321
862,Tressa,20461
863,Morganica,11433
864,Tabbatha,21039
865,Stephanie,10351
866,Florie,10763
867,Marsiella,16129
868,Feliza,11177
869,Madelle,16930
870,Agnese,21533
871,Dorene,20532
872,Aigneis,13340
873,Ulrike,20754
874,Jordan,17266
875,Livvyy,18410
876,Priscilla,21089
877,Georgina,16534
878,Lyssa,10582
879,Ann-Marie,20595
880,Evita,19137
881,Karena,13632
882,Ottilie,15405
883,Gianina,18037
884,Norine,19044
885,Sharai,16621
886,Thalia,12708
887,Devina,20960
888,Tani,17968
889,Tamqrah,12628
890,Fina,12772
891,Isa,17950
892,Dulce,17334
893,Bee,19233
894,Sheelagh,15599
895,Sam,19815
896,Nadine,19988
897,Blake,12772
898,Damaris,19505
899,Cathyleen,19164
900,Dyann,10719
901,Brooks,20873
902,Annora,20809
903,Sherrie,16569
904,Jasmina,11395
905,Keelia,15186
906,Kylynn,17952
907,Darlleen,10307
908,Frances,16399
909,Bobinette,19247
910,Esmeralda,19119
911,Viviene,11915
912,Anestassia,13764
913,Lindie,18413
914,Lilith,19379
915,Merci,15581
916,Renie,14039
917,Jobi,11176
918,Evaleen,11872
919,Ninnetta,13816
920,Stevana,16145
921,Therine,11119
922,Fredericka,14035
923,Darlleen,19243
924,Dacia,18671
925,Yolane,19569
926,Michaelina,15747
927,Chandra,18739
928,Marline,15642
929,Gilda,10064
930,Joy,12883
931,Maurene,10293
932,Xylina,15130
933,Ellette,20545
934,Sarette,14043
935,Carlie,12694
936,Magdalena,21722
937,Lanae,17071
938,Donnie,11669
939,Livvyy,10342
940,Cacilie,21859
941,Juliane,21742
942,Demetris,16544
943,Annora,17087
944,Cherrita,19970
945,Alameda,17054
946,Aaren,15129
947,Clo,17917
948,Melodie,18770
949,Tonia,19215
950,Sibella,12879
951,Vita,20408
952,Gusty,16645
953,Marita,10637
954,Kayla,19035
955,Agathe,21660
956,Gaylene,11476
957,Deane,16086
958,Dominga,16717
959,Steffane,12263
960,Lilith,11675
961,Elfreda,20476
962,Shell,18025
963,Clementine,20034
964,Therine,19455
965,Latisha,20849
966,Althea,14715
967,Lynnea,10315
968,Nelle,16907
969,Karlee,15247
970,Andeee,17545
971,Marcy,11380
972,Carolina,10350
973,Lizzie,17490
974,Hyacinthe,21179
975,Anthia,15136
976,Julieta,19045
977,Elka,11612
978,Gilligan,18618
979,Joceline,13836
980,Dede,12674
981,Trudie,10820
982,Donnie,10790
983,Cecile,14424
984,Diena,13965
985,Randa,21217
986,Lauryn,17586
987,Daphne,13302
988,Chickie,13066
989,Celestyna,18125
990,Dale,21701
991,Carmela,12394
992,Jolyn,20633
993,Bernie,12644
994,Tabbatha,10975
995,Moyna,12523
996,Sashenka,13546
997,Edyth,20165
998,Jaclyn,17358
999,Charissa,17519
1000,Cherrita,12707
1001,Aryn,16653
1002,Elka,16945
1003,Claudina,19515
1004,Mariele,12504
1005,Paulita,18211
1006,Lulita,20262
1007,Jacenta,15301
1008,Myrtice,21580
1009,Nollie,21762
1010,Tera,11791
1011,Candy,19262
1012,Dianemarie,14632
1013,Rhoda,21537
1014,Mahalia,11247
1015,Gianina,20467
1016,Diena,17952
1017,Heddie,11771
1018,Vinita,18677
1019,Elora,11535
1020,Felice,12494
1021,Merry,17488
1022,Candy,20424
1023,Celisse,20278
1024,Dyann,16452
1025,Doro,13869
1026,Rebeca,17465
1027,Lonnie,13318
1028,Rosabelle,12669
1029,Christy,14981
1030,Rubie,12846
1031,Ronna,10125
1032,Tami,13102
1033,Maye,20339
1034,Caritta,20455
1035,Amara,14124
1036,Paulita,13027
1037,Charmaine,20607
1038,Molli,18683
1039,Tonia,12620
1040,Vanessa,10356
1041,Sean,20258
1042,Joelly,14059
1043,Alie,11528
1044,Susette,19996
1045,Talya,12109
1046,Raina,16911
1047,Daryl,18215
1048,Kayla,10300
1049,Chrystel,20349
1050,Giustina,18262
1051,Joy,16249
1052,Berget,19043
1053,Kirstin,15609
1054,Tani,20650
1055,Adore,17341
1056,Lilith,18209
1057,Demetris,11320
1058,Tani,13934
1059,Peri,21624
1060,Vivia,12530
1061,Lauryn,18567
1062,Iseabal,20802
1063,Nonnah,18250
1064,Kate,11839
1065,Dianemarie,17113
1066,Sadie,12273
1067,Jenda,20000
1068,Vita,16658
1069,Emmey,16012
1070,Gwyneth,16122
1071,Hayley,13197
1072,Roseline,10481
1073,Olivette,20634
1074,Daune,11232
1075,Aigneis,16663
1076,Kaja,10789
1077,Kimberley,19644
1078,Hope,20273
1079,Amalie,18069
1080,Jerry,19204
1081,Carlie,12795
1082,Carol-Jean,14826
1083,Andree,10008
1084,Aurore,13562
1085,Maryellen,18115
1086,Arlina,12812
1087,Sallie,15837
1088,Ivett,19727
1089,Ira,12352
1090,Josephine,21908
1091,Shandie,20602
1092,Roxane,13467
1093,Sherrie,10296
1094,Angelique,19616
1095,Felice,17181
1096,Dulcinea,11654
1097,Cindelyn,12677
1098,Tonia,11190
1099,Minda,11609
1100,Paule,10444
1101,Rubie,15787
1102,Iseabal,13395
1103,Sabina,10674
1104,Cherrita,12202
1105,Emilia,17281
1106,Ernesta,18864
1107,Merci,16680
1108,Wendi,12517
1109,Glynnis,18546
1110,Maye,21701
1111,Perry,20906
1112,Heddie,10717
1113,Nadine,10084
1114,Giustina,21877
1115,Emmey,19492
1116,Tori,14639
1117,Madelle,12760
1118,Winifred,14059
1119,Nadine,14902
1120,Lanae,11106
1121,Hildegaard,11002
1122,Jinny,12026
1123,Carmela,16988
1124,Alameda,10048
1125,Pearline,18874
1126,Lolita,13049
1127,Juliane,15648
1128,Jobi,15339
1129,Netty,17462
1130,Meghann,10273
1131,Linet,10646
1132,Jaime,19002
1133,Hollie,14881
1134,Loree,12614
1135,Tina,15404
1136,Tori,20674
1137,Oralee,15187
1138,Konstance,17080
1139,Cherilyn,13971
1140,Elvira,18437
1141,Kathi,12041
1142,Johna,10909
1143,Justinn,12377
1144,Cristabel,10682
1145,Nessie,12338
1146,Chrystel,21699
1147,Jessamyn,13623
1148,Keelia,14020
1149,Merry,20934
1150,Dacia,17544
1151,Lucille,21607
1152,Livvyy,19571
1153,Imojean,18672
1154,Beth,12249
1155,Vivia,15089
1156,Elsie,19814
1157,Tressa,14920
1158,Emelina,12879
1159,Brena,21255
1160,Katharina,16208
1161,Jacquetta,19464
1162,Miquela,14889
1163,Corly,20183
1164,Christy,16700
1165,Roseline,20123
1166,Heida,16299
1167,Brietta,15835
1168,Chickie,15080
1169,Heida,10226
1170,Cindelyn,21802
1171,Candi,19445
1172,Tomasina,14510
1173,Blondelle,11208
1174,Winifred,10776
1175,Cordi,17551
1176,Mary,16758
1177,Nessie,18039
1178,Jorry,17389
1179,Doralynne,21584
1180,Kassey,17331
1181,Molli,21580
1182,Amelia,18654
1183,Marita,19973
1184,Adelle,21884
1185,Chloris,13819
1186,Kristan,16030
1187,Phedra,21643
1188,Kayla,12367
1189,Dacia,11061
1190,Alyssa,11339
1191,Blinni,17172
1192,Lynea,11536
1193,Tressa,15987
1194,Camile,20739
1195,Elka,20353
1196,Sibella,20839
1197,Evaleen,11516
1198,Quintina,13914
1199,Almeta,12205
1200,Rosene,11463
1201,Lyssa,17920
1202,Celene,18393
1203,Constance,21460
1204,Averyl,20805
1205,Brana,13944
1206,Marsiella,15716
1207,Susette,11049
1208,Lynde,17768
1209,Danny,18437
1210,Chastity,13797
1211,Kaja,17021
1212,Tersina,14569
1213,Abbie,16430
1214,Ardys,15404
1215,Monika,18221
1216,Stevana,12099
1217,Shaylyn,15793
1218,Valera,21563
1219,Ericka,17317
1220,Alexine,16090
1221,Stacey,10370
1222,Alleen,15411
1223,Maye,21396
1224,Ellette,15627
1225,Petronia,16174
1226,Edyth,19997
1227,Ardeen,19033
1228,Blinni,17633
1229,Pierette,16742
1230,Raina,14997
1231,Phedra,11189
1232,Danika,11795
1233,Grier,20276
1234,Regina,20391
1235,Fredericka,11624
1236,Shirlee,18165
1237,Winifred,15390
1238,Lindie,20359
1239,Christal,11754
1240,Violet,17341
1241,Anestassia,10924
1242,Odessa,15531
1243,Madelle,15602
1244,Emilia,18846
1245,Jobi,18655
1246,Flory,20151
1247,Kelly,20720
1248,Doro,17793
1249,Lexine,12540
1250,Tami,17389
1251,Sashenka,12131
1252,Oona,10541
1253,Dagmar,11339
1254,Annabela,18692
1255,Vinita,16723
1256,Corene,19477
1257,Caritta,18650
1258,Cissiee,19922
1259,Cristine,19831
1260,Daryl,15187
1261,Dari,13341
1262,Nonnah,17633
1263,Linzy,14531
1264,Kittie,18173
1265,Tatiania,20455
1266,Jany,14764
1267,Wynne,17934
1268,Mara,14298
1269,Raina,14042
1270,Marinna,12207
1271,Bobinette,21255
1272,Sidoney,13242
1273,Ricky,18970
1274,Britni,14655
1275,Darci,18227
1276,Eolanda,11352
1277,Jan,20445
1278,Anallese,16360
1279,Karlee,13901
1280,Tori,16745
1281,Basia,19891
1282,Nariko,16062
1283,Dyann,20567
1284,Pearline,21766
1285,Madeleine,14495
1286,Damaris,13846
1287,Myrtice,13284
1288,Mireielle,15813
1289,Gretal,12899
1290,Pearline,21718
1291,Melina,15162
1292,Modestia,20479
1293,Roxane,13518
1294,Gerianna,19024
1295,Joy,15418
1296,Ginnie,13739
1297,Beverley,12329
1298,Hettie,10110
1299,Lulita,15440
1300,Kelly,16334
1301,Ardys,15281
1302,Sara-Ann,10267
1303,Hope,20326
1304,Leona,13696
1305,Bibby,10197
1306,Raf,14806
1307,Tracey,15963
1308,Ottilie,10257
1309,Lila,18850
1310,Romona,18079
1311,Elora,18985
1312,Daryl,18602
1313,Melina,20891
1314,Wendi,13365
1315,Tonia,11753
1316,Emmey,16931
1317,Eve,20212
1318,Sonni,19443
1319,Cassondra,19021
1320,Margalo,20134
1321,Joy,11733
1322,Amalie,10583
1323,Millie,14321
1324,Candy,14458
1325,Dyann,21731
1326,Edith,17586
1327,Carree,14357
1328,Melina,16759
1329,Alejandra,14047
1330,Paule,19356
1331,Winny,14048
1332,Brandise,12147
1333,Monika,15549
1334,Christal,19753
1335,Arlina,18343
1336,Sashenka,20034
1337,Sonni,19873
1338,Rosanne,18256
1339,Rosabelle,16858
1340,Aeriela,12645
1341,Netty,20956
1342,Ira,17935
1343,Emma,15822
1344,Dotty,20219
1345,Gerianna,10217
1346,Barbara,20547
1347,Pollyanna,20158
1348,Agnese,12767
1349,Joeann,19396
1350,Harmonia,11652
1351,Cyndie,21518
1352,Leona,11857
1353,Norine,16104
1354,Sheelagh,16846
1355,Blinni,13600
1356,Dianemarie,18465
1357,Kimmy,15718
1358,Maud,17286
1359,Alameda,14339
1360,Sybille,11562
1361,Loree,11079
1362,Sissy,19868
1363,Dorene,12293
1364,Tori,17060
1365,Hettie,10057
