StudentID,firstname,Median wage public,Median wage Private
154,Jemie,7468,15610
155,Carmela,10269,15343
156,Ricky,13496,10173
157,Cacilie,14728,20986
158,Di,11472,21592
159,Binny,14140,17457
160,Lilith,11036,11120
161,Celestyna,10748,13999
162,Annabela,13386,21298
163,Adelle,8230,10314
164,Tamqrah,8294,12862
165,Nataline,12762,11732
166,Zaria,14010,17405
167,Mariele,9887,21614
168,Drucie,8687,17586
169,Sean,8908,17279
170,Fredericka,8206,13490
171,Claresta,11733,15881
172,Sharai,10648,17165
173,Frances,6694,12691
174,Sindee,14755,20060
175,Lyssa,14431,14858
176,Sabina,7076,17139
177,Oona,12839,10915
178,Hallie,6027,12670
179,Gwyneth,12415,20799
180,Chandra,7913,15084
181,Florie,9857,13491
182,Catrina,10569,17474
183,Devina,7617,13672
184,Beverley,9653,21315
185,Bill,11108,20261
186,Jorry,14033,21178
187,Paola,7256,11537
188,Karly,9452,13048
189,Vita,11379,21956
190,Meg,6166,19084
191,Kirstin,12462,14844
192,Jere,6483,15133
193,Winifred,10423,14651
194,Alisha,14298,16718
195,Maurene,12537,16770
196,Genovera,8605,12557
197,Barbi,14421,21922
198,Cecile,7690,12121
199,Gilda,7605,21696
200,Mary,9286,15290
201,Lucy,6777,21378
202,Dianemarie,14360,20943
203,Maridel,10053,12663
204,Glynnis,6790,15921
205,Augustine,9769,14044
206,Beatriz,9878,20921
207,Marita,11764,21731
208,Britni,12486,16553
209,Elka,13119,21769
210,Cathyleen,10625,15516
211,Yetty,12690,21039
212,Edee,9829,12026
213,Olivette,14149,20545
214,Eve,7103,19872
215,Eadie,8224,12893
216,Alex,12327,12923
217,Romona,7521,13786
218,Genevra,14823,18109
219,Gilligan,9742,10835
220,Mireielle,8039,15001
221,Valli,11402,20278
222,Tarra,6312,18152
223,Jaclyn,8158,16390
224,Merrie,10178,21181
225,Roberta,14432,19759
226,Roxane,10593,14402
227,Joelly,13696,18367
228,Raina,9333,15048
229,Steffane,11798,19849
230,Gusty,10585,14547
231,Selia,9463,17741
232,Adele,8374,17325
233,Paulita,11033,14120
234,Livvyy,11272,15291
235,Helsa,10607,18954
236,Corry,14366,11396
237,Bernie,14926,15901
238,Marylou,9162,11258
239,Kamilah,9791,10119
240,Helsa,6046,14537
241,Fina,6651,10267
242,Jinny,10279,11548
243,Judy,6921,19435
244,Jan,10466,13750
245,Lacie,6350,12406
246,Eve,6924,20227
247,Lorne,10448,14386
248,Aeriela,11652,10840
249,Dotty,7629,21601
250,Lita,8279,18209
251,Giustina,10406,18191
252,Carlie,8491,11662
253,Dagmar,7590,10609
254,Dagmar,12319,14033
255,Ann-Marie,12338,16810
256,Anthia,7016,18626
257,Rayna,7847,16918
258,Tersina,12100,18348
259,Tina,12706,18723
260,Eugine,10128,17626
261,Michaelina,7364,21699
262,Petronia,11073,11976
263,Modestia,8127,14706
264,Angela,11731,20502
265,Wanda,10947,16010
266,Lulita,13773,17983
267,Lorne,8232,19668
268,Dennie,14673,15235
269,Danny,9690,20369
270,Ada,14817,21548
271,Carlie,12759,14938
272,Anthia,11378,18005
273,Wileen,9218,11544
274,Gilda,6299,15756
275,Georgina,9246,15319
276,Beverley,14687,18214
277,Kittie,11251,19396
278,Charmaine,13177,15804
279,Roberta,6940,21233
280,Elsie,14549,10357
281,Dotty,8389,16434
282,Christian,9740,16047
283,Brena,9981,19501
284,Karina,8087,14263
285,Jan,11086,16734
286,Cecile,11606,20505
287,Dominga,12670,12898
288,Sharlene,10712,21261
289,Beverley,9228,19232
290,Charmaine,6356,12715
291,Ruthe,10789,13022
292,Lesly,10450,15262
293,Chickie,9593,12297
294,Basia,14947,13695
295,Albertina,9876,12332
296,Maridel,6613,21650
297,Penelopa,8099,12461
298,Dorothy,12114,10167
299,Jan,7458,19553
300,Queenie,7406,12286
301,Susette,6714,11010
302,Ardeen,10956,21917
303,Brooks,12877,18647
304,Lory,10481,18876
305,Angela,8990,21502
306,Raquela,9548,19901
307,Calla,9224,13528
308,Jasmina,7964,20677
309,Devina,12048,11386
310,Kimmy,10273,16329
311,Livvyy,9597,18075
312,Max,9101,12381
313,Rayna,12810,14545
314,Ebonee,11018,10526
315,Korrie,12604,17751
316,Rori,7929,19404
317,Annora,6747,20795
318,Janey,6340,16532
319,Dawn,12865,18296
320,Doralynne,6913,15076
321,Anestassia,11194,11992
322,Katharina,9133,17975
323,Nelle,6827,19578
324,Brynna,11853,12527
325,Doro,12015,18711
326,Sarette,14740,12222
327,Aaren,10316,14695
328,Kimberley,6046,18043
329,Mamie,14555,10185
330,Jaime,9233,11120
331,Tarra,11197,15266
332,Winifred,13574,11327
333,Barbara,6595,16615
334,Farrah,6941,21128
335,Belva,13735,15370
336,Liana,8859,21200
337,Merle,12228,10456
338,Sindee,7543,11776
339,Meg,7122,20740
340,Codie,13488,18117
341,Keelia,7915,21816
342,Rayna,9922,11861
343,Sheelagh,14519,20301
344,Tomasina,10796,20406
345,Alleen,9293,19861
346,Elmira,7709,12886
347,Flo,13859,19995
348,Anthia,10304,13229
349,Carree,11479,10705
350,Tersina,7964,17156
351,Clementine,13710,19954
352,Bobbi,10257,16968
353,Arabel,9779,14899
354,Fred,7797,20970
355,Mariann,8380,10824
356,Renae,13920,19468
357,Helsa,7470,16384
358,Carly,7256,17413
359,Cam,12959,12517
360,Carmela,12249,21887
361,Camile,13109,21236
362,Jerry,13852,11303
363,Kial,13656,17645
364,Reeba,7809,12242
365,Sibella,10558,12320
366,Cassondra,7487,18386
367,Marsiella,6747,17708
368,Etta,14934,11363
369,Babita,11294,15176
370,Claudina,10974,15390
371,Barbara,13157,19426
372,Althea,6391,10906
373,Susan,8005,10439
374,Althea,9859,15680
375,Ada,6365,21815
376,Sabina,12008,21073
377,Teddie,14596,15045
378,Mallory,6067,11432
379,Kristina,10552,18465
380,Riannon,6729,20676
381,Dode,7104,16253
382,Lelah,6474,21500
383,Alyda,9927,14684
384,Elora,7789,18840
385,Rhea,8976,21981
386,Sam,11787,12727
387,Sharlene,9639,17834
388,Renie,12873,12392
389,Iseabal,11862,12899
390,Dianemarie,10408,17547
391,Liana,10851,16831
392,Meghann,8552,20236
393,Ofilia,11477,15481
394,Aimil,9962,12432
395,Cecile,9213,11496
396,Hope,8320,19731
397,Morganica,14062,13625
398,Nariko,14937,10548
399,Evaleen,14884,20691
400,Carlie,14771,19522
401,Elvira,9750,11891
402,Chastity,8104,13231
403,Belinda,7705,19867
404,Halette,12159,20980
405,Gabi,6193,19319
406,Orelia,14574,19230
407,Damaris,14298,20001
408,Ilse,8677,16364
409,Cacilie,14242,10858
410,Frank,14284,18623
411,Dominga,11675,18922
412,Celisse,8686,10033
413,Tilly,9682,14455
414,Dorothy,6548,16913
415,Orelia,6064,13082
416,Alie,10433,10666
417,Candi,10606,15600
418,Collen,13805,16627
419,Shannah,6587,21385
420,Consuela,13262,12104
421,Kirbee,8886,21722
422,Ida,9764,18110
423,Margarette,13846,13536
424,Ardenia,6205,12064
425,Vinita,6283,19431
426,Elyssa,9728,21923
427,Lulita,11645,21997
428,Kellen,8814,11275
429,Nessie,7781,10982
430,Paulita,6147,10059
431,Riannon,11434,21035
432,Mahalia,7605,10797
433,Ashlee,10333,14424
434,Wanda,13197,21375
435,Clarice,12004,16923
436,Renie,9799,20962
437,Corina,11313,21944
438,Elvira,11375,10456
439,Feliza,11672,19570
440,Gaylene,14332,17557
441,Alameda,11430,19765
442,Jasmina,10239,20834
443,Dari,11891,14998
444,Alisha,13694,16786
445,Paule,10455,16222
446,Elvira,13885,21201
447,Angela,14532,19353
448,Marleah,12499,17022
449,Rosanne,11676,21501
450,Modestia,10637,13957
451,Lucille,12030,18666
452,Tersina,14112,14456
453,Codie,8699,11304
454,Agnese,9708,16301
455,Hayley,12778,11167
456,Joleen,10371,14631
457,Kaia,8444,10240
458,Nannie,12264,20200
459,Blake,12649,16704
460,Renae,13473,19549
461,Shel,6795,17240
462,Nonnah,12243,17968
463,Basia,6035,17102
464,Clo,8873,16835
465,Caryl,7886,19597
466,Karena,9262,21737
467,Goldie,12520,11663
468,Dede,10395,21281
469,Alia,14837,16674
470,Maryellen,6317,16185
471,Claresta,14524,21437
472,Marti,12917,20966
473,Noelle,9489,16516
474,Dania,7723,12910
475,Elena,14736,19156
476,Ann-Marie,7749,19043
477,Kimberley,6878,16403
478,Caryl,7011,15987
479,Taffy,10092,10535
480,Harrietta,14286,18721
481,Jorry,13276,17336
482,Kimberley,7386,12543
483,Mary,14956,19668
484,Mellicent,8393,16272
485,Audrie,10821,21532
486,Almeta,6096,19615
487,Marleah,14259,21625
488,Meg,14936,11477
489,Doro,8048,10025
490,Raf,7944,11693
491,Ezmeralda,11360,21465
492,Claresta,12699,18782
493,Lonnie,7772,11507
494,Doro,14663,13591
495,Corly,6377,12934
496,Mady,12687,10751
497,Flory,7653,13387
498,Fred,8919,19904
499,Perry,14741,20428
500,Alyssa,7810,20846
501,Randa,12848,15636
502,Jenda,11888,13195
503,Ellette,9379,13342
504,Leeanne,11368,20823
505,Lanae,7830,12848
506,Binny,11465,20629
507,Bee,8593,14762
508,Marleah,10482,18611
509,Ada,14720,20514
510,Mellicent,11066,12639
511,Dari,12918,20665
512,Rebeca,14702,15841
513,Caritta,13931,20818
514,Olwen,8642,15370
515,Bibby,9369,14198
516,Kial,7484,21436
517,Olivette,7633,14438
518,Angelique,13457,19861
519,Felice,9411,12362
520,Mara,7707,12765
521,Nadine,14039,21823
522,Christy,13727,16236
523,Anthia,6144,19620
524,Binny,8456,18445
525,Tera,14658,10303
526,Catharine,11013,10933
527,Jasmina,10456,11270
528,Evita,9137,15413
529,Mamie,13450,16679
530,Calla,10816,10900
531,Jolyn,11426,21802
532,Binny,12249,19475
533,Kellen,6777,10331
534,Selma,10163,15971
535,Rosanne,6400,19230
536,Margette,12839,11119
537,Rosene,12935,11084
538,Adele,12409,12672
539,Amelia,9047,21648
540,Tracey,8489,19439
541,Ariela,11543,14774
542,Aigneis,13722,20250
543,Lenna,11265,15023
544,Mallory,8814,21638
545,Odessa,11822,12989
546,Dari,10690,12243
547,Maurene,12145,21907
548,Emelina,6552,14500
549,Heddie,7654,19048
550,Stacey,10977,17443
551,Annabela,14188,10644
552,Karlee,14175,21894
553,Nannie,6935,18512
554,Olivette,12662,11884
555,Consuela,9026,18033
556,Olwen,14804,13387
557,Lucille,6517,11962
558,Elka,14997,13626
559,Bertine,12140,19219
560,Ardenia,10847,15214
561,Shauna,11543,15686
562,Cecile,12174,21769
563,Ardys,12629,13045
564,Candi,12473,20355
565,Celene,11785,10927
566,Annora,11847,16458
567,Sara-Ann,7241,16040
568,Janeczka,10768,21893
569,Myriam,11121,10561
570,Oona,11306,16953
571,Sheelagh,11291,12096
572,Lauryn,10967,21538
573,Hannis,12968,16097
574,Xylina,8500,16943
575,Deirdre,14546,14436
576,Christal,9010,21081
577,Rubie,7775,16818
578,Jolyn,13793,17357
579,Xylina,8427,11235
580,Mathilda,13153,14031
581,Juliane,7279,20503
582,Nickie,6795,16912
583,Ernesta,7980,18926
584,Veda,8251,21792
585,Hayley,13994,19016
586,Steffane,13605,16172
587,Gavrielle,9560,17913
588,Elyssa,12517,20328
589,Joane,12263,18820
590,Dale,6743,14147
591,Fredericka,7081,18681
592,Ira,10089,15782
593,Selia,8788,10872
594,Sidoney,9967,19069
595,Tonia,10252,12294
596,Merle,6177,16682
597,Jaime,7709,10332
598,Millie,9121,14328
599,Kial,11101,21934
600,Gavrielle,12738,20726
601,Audrie,6349,13860
602,Kara-Lynn,7307,19892
603,Ira,9040,10382
604,Robbi,12388,10871
605,Jaclyn,12655,16026
606,Jordan,14631,10078
607,Valli,6091,13131
608,Karlee,14060,20460
609,Clementine,11809,17607
610,Doro,9712,11149
611,Gusella,14271,19430
612,Loree,7219,19216
613,Thalia,14638,16902
614,Nyssa,13071,10373
615,Karina,12679,13608
616,Wynne,6422,21786
617,Deloria,14791,18111
618,Sindee,9324,14293
619,Eve,6353,12418
620,Carilyn,11459,18105
621,Tabbatha,11384,19804
622,Merry,8186,16769
623,Kristan,12817,15561
624,Juliane,12740,11428
625,Almeta,6355,19157
626,Corly,13801,14286
627,Sharlene,12749,12893
628,Mureil,8450,11917
629,Daphne,11727,18129
630,Dagmar,6907,12679
631,Bertine,9259,11953
632,Constance,8374,18884
633,Christal,8508,18581
634,Mallory,11338,14257
635,Cassondra,14514,11784
636,Janenna,14280,21506
637,Emylee,12345,14797
638,Madalyn,14446,17554
639,Nadine,10014,14957
640,Wileen,8737,17097
641,Agnese,8428,18763
642,Annaliese,8766,13852
643,Jeanna,12180,14778
644,Netty,9725,21567
645,Farrah,14091,20691
646,Tami,6704,21029
647,Robbi,8201,11636
648,Carilyn,8320,20743
649,Tracey,12020,10165
650,Kaja,13558,16348
651,Jolyn,6549,10532
652,Corene,7004,16264
653,Fidelia,14144,15646
654,Ursulina,6063,16747
655,Courtnay,6794,13674
656,Carilyn,7105,12873
657,Jean,12272,16500
658,Celisse,8357,21642
659,Cristine,12434,12012
660,Daryl,10274,19421
661,Johna,10259,12223
662,Bertine,9973,15403
663,Nicoli,11357,11359
664,Priscilla,11111,13855
665,Alisha,10886,12712
666,Etta,12838,21286
667,Kalina,14353,10619
668,Ardeen,6596,13758
669,Brena,6185,12807
670,Tersina,7794,17919
671,Mildrid,8666,17727
672,Vanessa,9204,19208
673,Harmonia,11214,16361
674,Trixi,12111,13988
675,Ayn,13007,11216
676,Fayre,14683,16685
677,Elena,10612,20219
678,Gabi,9182,10324
679,Veda,14272,12899
680,Harmonia,11965,11085
681,Glynnis,11778,16986
682,Dennie,14545,17654
683,Jackie,13516,18545
684,Mary,9314,17794
685,Consuela,10102,17615
686,Beatriz,7811,18547
687,Beverley,11413,21642
688,Hyacinthe,8044,16336
689,Modestia,8982,12494
690,Damaris,7182,12500
691,Gertrud,10224,11609
692,Layla,10386,21213
693,Cindelyn,11780,15031
694,Corry,12136,13993
695,Cristabel,12452,18772
696,Beth,14520,19695
697,Tracey,13378,14600
698,Edee,8403,17561
699,Frank,6225,12782
700,Jere,10155,20455
701,Christian,7643,15862
702,Dede,12089,15377
703,Neila,13473,19102
704,Andree,7621,10074
705,Shauna,9487,14402
706,Yolane,11219,11523
707,Chastity,12957,20599
708,Madalyn,11727,15017
709,Lizzie,13005,21460
710,Sadie,10386,11554
711,Maridel,6955,19035
712,Katleen,14733,21986
713,Rosene,7193,16303
714,Annice,9417,15491
715,Ofilia,13017,18941
716,Mildrid,14011,12888
717,Taffy,6588,12291
718,Marika,6386,11456
719,Roxane,14957,19620
720,Cherilyn,7621,14740
721,Bernardine,14611,20447
722,Dacia,11328,14854
723,Edith,7377,13328
724,Carlie,12161,12406
725,Therine,8395,21366
726,Jacenta,10038,16910
727,Jillayne,6712,16801
728,Maud,9720,14880
729,Pearline,12606,21184
730,Ardeen,11230,16122
731,Alyda,12818,10837
732,Marylou,8963,15721
733,Lanae,9650,20420
734,Rosabelle,6285,17859
735,Bertine,14854,19381
736,Lulita,8601,16366
737,Cyb,11296,18439
738,Tori,11915,18487
739,Ketti,11598,13104
740,Elora,12054,12749
741,Lulita,10168,14598
742,Kathi,14448,14985
743,Babita,11006,14782
744,Maud,9161,21689
745,Cacilie,14704,10840
746,Tatiania,12300,17811
747,Elsie,11539,13068
748,Cristine,14590,10612
749,Sindee,12123,15161
750,Patricia,13486,17616
751,Donetta,14619,19164
752,Dawn,11053,14148
753,Lexine,9834,21041
754,Aubrie,11247,10755
755,Gabi,13197,14304
756,Selma,10522,15251
757,Carolina,6609,17361
758,Shell,9100,19367
759,Janey,10752,13976
760,Andree,9610,19497
761,Gale,10834,13471
762,Marsiella,7106,13810
763,Kathi,6357,18714
764,Angelique,14741,19218
765,Belva,13373,13504
766,Libbie,13236,19240
767,Marline,13934,19720
768,Noelle,12723,17086
769,Anthia,9449,11706
770,Perry,11481,21370
771,Paulita,6373,19919
772,Sheelagh,6400,21030
773,Renae,14505,11505
774,Fawne,11403,13625
775,Amara,10009,13378
776,Yvonne,14265,17253
777,Kaja,9451,12626
778,Ardenia,6254,14654
779,Bee,8938,11541
780,Jessamyn,8214,15490
781,Janey,7473,10930
782,Melisent,10175,17466
783,Gerianna,8163,16323
784,Amalie,7335,21806
785,Rosabelle,10571,14661
786,Kristina,14146,10184
787,Candy,7823,15864
788,Katleen,7388,14092
789,Deedee,10494,13656
790,Marcelline,6627,14528
791,Averyl,8008,20706
792,Karlee,8711,16861
793,Mignon,7805,19360
794,Celestyna,9439,16423
795,Dode,11780,19876
796,Farrah,13054,21623
797,Joceline,11000,16428
798,Roseline,6283,21883
799,Violet,12238,11574
800,Alyssa,13858,12842
801,Vivia,11231,13469
802,Glynnis,11252,16585
803,Jean,13291,15988
804,Sidoney,7748,20037
805,Rosene,6188,19007
806,Gale,12924,19968
807,Korrie,14575,14762
808,Sara-Ann,7499,21164
809,Jenda,11691,21442
810,Romona,14068,11687
811,Bobbi,10760,15895
812,Penelopa,14735,15838
813,Fanny,6252,13273
814,Lyssa,9255,21613
815,Jerry,13996,16384
816,Selia,9386,19155
817,Merry,10985,13437
818,Belinda,8128,15596
819,Joceline,10665,19911
820,Konstance,13737,21641
821,Silvana,11986,11201
822,Tybie,6987,20375
823,Ursulina,12811,15862
824,Ericka,10410,20533
825,Arabel,11611,15728
826,Nita,8305,19464
827,Sara-Ann,14195,11367
828,Gale,12987,12314
829,Calla,9663,13423
830,Sadie,13415,20810
831,Shauna,13151,15203
832,Patricia,9736,10137
833,Aaren,7637,18569
834,Susan,6927,20938
835,Marleah,13604,19622
836,Joleen,12756,15940
837,Mara,10560,15323
838,Nariko,14139,10982
839,Jacenta,7128,10678
840,Madelle,6816,15533
841,Andree,13826,17699
842,Emilia,14426,17438
843,Jacenta,7274,13501
844,Patricia,6432,11837
845,Ricky,6878,16303
846,Roz,8498,17327
847,Molli,6166,12155
848,Valli,6536,18769
849,Genovera,9123,20355
850,Nananne,8994,21210
851,Sharai,14061,14711
852,Minne,14593,20452
853,Trixi,7953,16479
854,Agathe,11866,14374
855,Sam,13827,10888
856,Tani,12640,17726
857,Basia,7200,19508
858,Peri,6620,11313
859,Penelopa,7389,20846
860,Vinita,8641,10507
861,Tilly,12826,12400
862,Millie,6956,14929
863,Sadie,11627,16480
864,Aurore,6844,14887
865,Melina,11127,15372
866,Sallie,12563,15377
867,Odessa,11227,21100
868,Dorice,6675,21505
869,Tomasina,8581,10974
870,Ardenia,7626,20013
871,Bobbi,6251,18736
872,Sonni,10632,18573
873,Sonni,12375,18997
874,Ruthe,7020,20897
875,Melisent,12030,11960
876,Stephanie,6955,12818
877,Daryl,14290,20759
878,Demetris,14301,13511
879,Margalo,9882,11357
880,Gianina,7246,16781
881,Abbie,13186,19746
882,Janenna,6498,21101
883,Sadie,13075,14099
884,Morganica,8384,12470
885,Nyssa,10765,13367
886,Wendi,10870,11542
887,Therine,9074,15508
888,Wileen,14475,11970
889,Gerrie,7522,12255
890,Nanete,12130,13288
891,Therine,12583,11692
892,Jessy,6152,16932
893,Gisela,9333,20263
894,Konstance,12118,14359
895,Madalyn,8474,21856
896,Zia,9599,12709
897,Rebeca,13329,18528
898,Ileana,6739,11396
899,Joane,13115,11411
900,Estell,10051,17670
901,Nessie,14870,16103
902,Tierney,8717,16713
903,Rayna,6723,14068
904,Evita,10248,14218
905,Tatiania,12315,21388
906,Janenna,6010,19368
907,Genevra,10981,21433
908,Lauryn,7747,13752
909,Modestia,13599,18496
910,Stacey,12424,19197
911,Tani,11602,15347
912,Ellette,11445,21731
913,Janeczka,13937,16520
914,Tera,10460,16542
915,Eve,13110,19415
916,Jennica,12213,19189
917,Maridel,6366,13796
918,Elbertina,6707,18977
919,Anica,11519,11675
920,Dolli,13631,15104
921,Lila,11395,15358
922,Larine,10434,14733
923,Veda,14217,17631
924,Marguerite,14407,10395
925,Sarette,8592,12385
926,Shell,10680,21298
927,Wynne,11919,11703
928,Linet,11135,10531
929,Collen,13671,20615
930,Celisse,11347,15187
931,Gaylene,12856,10129
932,Elyssa,12543,15002
933,Mureil,9685,18918
934,Gavrielle,6499,19911
935,Genovera,9729,13275
936,Annabela,12034,16864
937,Corene,13413,17902
938,Lynea,11514,21820
939,Belva,8476,13643
940,Emylee,14631,19977
941,Letizia,12559,18808
942,Collen,12664,19370
943,Oralee,6657,18838
944,Gui,11968,10537
945,Katharina,12574,12548
946,Hope,8259,17558
947,Lizzie,14529,21778
948,Mireielle,13677,19203
949,Nadine,7641,11110
950,Kary,14741,14832
951,Mellicent,7805,16124
952,Keelia,9975,18083
953,Ida,14063,13965
954,Cassandra,13659,18247
955,Kamilah,12443,18661
956,Cecile,6370,21439
957,Yvonne,12274,15066
958,Joceline,14182,20417
959,Lily,8275,12828
960,Libbie,6953,11954
961,Oona,8672,12473
962,Tonia,8175,19392
963,Adelle,12127,18657
964,Gwyneth,10993,14297
965,Adele,13500,12715
966,Dione,13162,17906
967,Janeczka,14142,17767
968,June,13973,11283
969,Lenna,7724,20731
970,Amelia,8989,13449
971,Tami,13786,15785
972,Carol-Jean,10954,18196
973,Latisha,10406,17502
974,Cordi,14576,19488
975,Drucie,6338,19269
976,Sean,8861,20664
977,Sadie,14799,10662
978,Peri,8166,15957
979,Flo,10961,18520
980,Evaleen,10539,11550
981,Kelly,13481,19834
982,Madalyn,9472,15220
983,Lucy,8794,16850
984,Shauna,12780,16421
985,Beatriz,12310,13302
986,Shirlee,11408,19645
987,Cindelyn,7183,13912
988,Aimil,12650,10748
989,Jan,13879,11335
990,Sharai,11101,14833
991,Robinia,11653,14224
992,Elena,14901,16207
993,Patricia,12823,16188
994,Beverley,8158,21278
995,Vere,10769,17613
996,Angelique,10560,18977
997,Zaria,13628,20679
998,Codie,10799,13923
999,Marguerite,8802,17810
1000,Korrie,7642,21481
1001,Zondra,8330,10706
1002,Ermengarde,6730,14110
1003,Arlena,9666,19759
1004,Babita,10352,17980
1005,Kimberley,11360,16312
1006,Deedee,6372,20370
1007,Leona,7207,12918
1008,Ermengarde,12611,18856
1009,Mellicent,9686,18981
1010,Darlleen,12083,19251
1011,Willetta,10468,10723
1012,Henriette,12846,21676
1013,Jaclyn,9386,16909
1014,Leeanne,14839,12137
1015,Joeann,14212,11278
1016,Melina,9032,16518
1017,Emylee,13665,10418
1018,Betta,9383,15760
1019,Gloria,6263,11685
1020,Merry,12760,11904
1021,Edith,9364,21042
1022,Imojean,10675,17859
1023,Meghann,7807,10510
1024,Miquela,7433,14179
1025,Corry,11711,20402
1026,Elyssa,10283,13165
1027,Merle,13948,10846
1028,Amelia,10804,19872
1029,Correy,14897,16892
1030,Cassandra,11785,16102
1031,Ana,11051,10806
1032,Wynne,13021,11649
1033,Minne,12697,21009
1034,Winifred,9420,14930
1035,Tatiania,10912,20491
1036,Fidelia,13525,17654
1037,Roxane,13624,19367
1038,Eve,14927,16633
1039,Hayley,10907,19616
1040,Danny,6607,19034
1041,Lorie,6254,15005
1042,Kerrin,11606,19369
1043,Elise,11481,14800
1044,Jacenta,11408,14947
1045,Gerrie,14467,10881
1046,Neila,11284,14119
1047,Bee,9292,12923
1048,Gabriellia,10682,18122
1049,Vevay,14204,15689
1050,Viki,13531,16561
1051,Paola,7150,21234
1052,Latisha,7349,12112
1053,Darlleen,13841,21010
1054,Wendi,12933,17890
1055,Carly,13060,13391
1056,Gilda,13203,16845
1057,Maridel,8542,10772
1058,Genevra,6980,12356
1059,Consuela,11784,17528
1060,Joelly,8118,17925
1061,Arlena,7090,21531
1062,Danny,11702,11897
1063,Giustina,12509,19485
1064,Jacquetta,14585,16985
1065,Dulce,11023,21632
1066,Ayn,10772,18501
1067,Hollie,9800,13629
1068,Josephine,6769,12745
1069,Shel,9261,11004
